time,deployment_id,depth_filt_mm,depth_proc_mm
2020-10-05 04:01:07.896846+00:00,daily_new_falcon,0,0
2020-10-05 04:05:18.214146+00:00,daily_new_falcon,0,0
2020-10-05 04:09:28.521927+00:00,daily_new_falcon,0,0
2020-10-05 04:13:38.809402+00:00,daily_new_falcon,0,0
2020-10-05 04:17:49.125979+00:00,daily_new_falcon,0,0
2020-10-05 04:21:59.423168+00:00,daily_new_falcon,0,0
2020-10-05 04:26:09.758616+00:00,daily_new_falcon,0,0
2020-10-05 04:30:20.106574+00:00,daily_new_falcon,0,0
2020-10-05 04:34:30.483000+00:00,daily_new_falcon,0,0
2020-10-05 04:38:40.839240+00:00,daily_new_falcon,0,0
2020-10-05 04:42:51.210739+00:00,daily_new_falcon,0,0
2020-10-05 04:47:01.623658+00:00,daily_new_falcon,0,0
2020-10-05 04:51:12.009776+00:00,daily_new_falcon,0,0
2020-10-05 04:55:22.435781+00:00,daily_new_falcon,0,0
2020-10-05 04:59:32.857734+00:00,daily_new_falcon,0,0
2020-10-05 05:03:43.308375+00:00,daily_new_falcon,0,0
2020-10-05 05:07:53.752960+00:00,daily_new_falcon,0,0
2020-10-05 05:12:04.239222+00:00,daily_new_falcon,0,0
2020-10-05 05:16:14.733024+00:00,daily_new_falcon,0,0
2020-10-05 05:20:25.246856+00:00,daily_new_falcon,0,0
2020-10-05 05:24:35.800027+00:00,daily_new_falcon,0,0
2020-10-05 05:28:46.384202+00:00,daily_new_falcon,0,0
2020-10-05 05:32:56.988867+00:00,daily_new_falcon,0,0
2020-10-05 05:37:07.611478+00:00,daily_new_falcon,0,0
2020-10-05 05:41:18.281296+00:00,daily_new_falcon,0,0
2020-10-05 05:45:29.018498+00:00,daily_new_falcon,0,0
2020-10-05 05:49:39.778634+00:00,daily_new_falcon,0,0
2020-10-05 05:53:50.584519+00:00,daily_new_falcon,0,0
2020-10-05 05:58:01.408761+00:00,daily_new_falcon,0,0
2020-10-05 06:02:12.294719+00:00,daily_new_falcon,0,0
2020-10-05 06:06:23.285595+00:00,daily_new_falcon,0,0
2020-10-05 06:10:34.220289+00:00,daily_new_falcon,0,0
2020-10-05 06:14:45.228738+00:00,daily_new_falcon,0,0
2020-10-05 06:18:56.222683+00:00,daily_new_falcon,0,0
2020-10-05 06:23:07.238512+00:00,daily_new_falcon,0,0
2020-10-05 06:27:18.250693+00:00,daily_new_falcon,0,0
2020-10-05 06:31:29.257171+00:00,daily_new_falcon,0,0
2020-10-05 06:35:40.292066+00:00,daily_new_falcon,0,0
2020-10-05 06:39:51.356110+00:00,daily_new_falcon,0,0
2020-10-05 06:44:02.401768+00:00,daily_new_falcon,0,0
2020-10-05 06:48:13.392500+00:00,daily_new_falcon,0,0
2020-10-05 06:52:24.382437+00:00,daily_new_falcon,0,0
2020-10-05 06:56:35.344441+00:00,daily_new_falcon,0,0
2020-10-05 07:00:46.264469+00:00,daily_new_falcon,0,0
2020-10-05 07:04:57.159226+00:00,daily_new_falcon,0,0
2020-10-05 07:09:08.052194+00:00,daily_new_falcon,0,0
2020-10-05 07:13:18.923119+00:00,daily_new_falcon,0,0
2020-10-05 07:17:29.746498+00:00,daily_new_falcon,0,0
2020-10-05 07:21:40.624152+00:00,daily_new_falcon,0,0
2020-10-05 07:25:51.504899+00:00,daily_new_falcon,0,0
2020-10-05 07:30:02.400085+00:00,daily_new_falcon,0,0
2020-10-05 07:34:13.291967+00:00,daily_new_falcon,0,0
2020-10-05 07:38:24.223319+00:00,daily_new_falcon,0,0
2020-10-05 07:42:35.155232+00:00,daily_new_falcon,0,0
2020-10-05 07:46:46.121928+00:00,daily_new_falcon,0,0
2020-10-05 07:50:57.112602+00:00,daily_new_falcon,0,0
2020-10-05 07:55:08.148182+00:00,daily_new_falcon,0,0
2020-10-05 07:59:19.173689+00:00,daily_new_falcon,0,0
2020-10-05 08:03:30.227705+00:00,daily_new_falcon,0,0
2020-10-05 08:07:41.324053+00:00,daily_new_falcon,0,0
2020-10-05 08:11:52.445046+00:00,daily_new_falcon,0,0
2020-10-05 08:16:03.564869+00:00,daily_new_falcon,0,0
2020-10-05 08:20:14.698696+00:00,daily_new_falcon,0,0
2020-10-05 08:24:25.777112+00:00,daily_new_falcon,0,0
2020-10-05 08:28:36.900256+00:00,daily_new_falcon,0,0
2020-10-05 08:36:59.141405+00:00,daily_new_falcon,0,0
2020-10-05 08:41:10.319729+00:00,daily_new_falcon,0,0
2020-10-05 08:45:21.479324+00:00,daily_new_falcon,0,0
2020-10-05 08:49:32.726184+00:00,daily_new_falcon,0,0
2020-10-05 08:53:43.992550+00:00,daily_new_falcon,0,0
2020-10-05 08:57:55.297826+00:00,daily_new_falcon,0,0
2020-10-05 09:02:06.574996+00:00,daily_new_falcon,0,0
2020-10-05 09:06:17.853918+00:00,daily_new_falcon,0,0
2020-10-05 09:10:29.091978+00:00,daily_new_falcon,0,0
2020-10-05 09:14:40.316523+00:00,daily_new_falcon,0,0
2020-10-05 09:18:51.535435+00:00,daily_new_falcon,0,0
2020-10-05 09:23:02.755178+00:00,daily_new_falcon,0,0
2020-10-05 09:27:13.991693+00:00,daily_new_falcon,0,0
2020-10-05 09:31:25.268130+00:00,daily_new_falcon,0,0
2020-10-05 09:35:36.580739+00:00,daily_new_falcon,0,0
2020-10-05 09:39:47.920370+00:00,daily_new_falcon,0,0
2020-10-05 09:43:59.298824+00:00,daily_new_falcon,0,0
2020-10-05 09:48:10.694479+00:00,daily_new_falcon,0,0
2020-10-05 09:52:22.066568+00:00,daily_new_falcon,0,0
2020-10-05 09:56:33.427402+00:00,daily_new_falcon,0,0
2020-10-05 10:00:44.757856+00:00,daily_new_falcon,0,0
2020-10-05 10:04:56.102360+00:00,daily_new_falcon,0,0
2020-10-05 10:09:07.448940+00:00,daily_new_falcon,0,0
2020-10-05 10:13:18.795104+00:00,daily_new_falcon,0,0
2020-10-05 10:17:30.145114+00:00,daily_new_falcon,0,0
2020-10-05 10:21:41.517929+00:00,daily_new_falcon,0,0
2020-10-05 10:25:52.850663+00:00,daily_new_falcon,0,0
2020-10-05 10:30:04.238483+00:00,daily_new_falcon,0,0
2020-10-05 10:34:15.579045+00:00,daily_new_falcon,0,0
2020-10-05 10:38:26.943047+00:00,daily_new_falcon,0,0
2020-10-05 10:42:38.248380+00:00,daily_new_falcon,0,0
2020-10-05 10:46:49.578488+00:00,daily_new_falcon,0,0
2020-10-05 10:51:00.962721+00:00,daily_new_falcon,0,0
2020-10-05 10:55:12.327700+00:00,daily_new_falcon,0,0
2020-10-05 10:59:23.711497+00:00,daily_new_falcon,0,0
2020-10-05 11:03:35.117454+00:00,daily_new_falcon,0,0
2020-10-05 11:07:46.515014+00:00,daily_new_falcon,0,0
2020-10-05 11:11:57.958754+00:00,daily_new_falcon,0,0
2020-10-05 11:16:09.380739+00:00,daily_new_falcon,0,0
2020-10-05 11:20:20.784511+00:00,daily_new_falcon,0,0
2020-10-05 11:24:32.161308+00:00,daily_new_falcon,0,0
2020-10-05 11:28:43.544855+00:00,daily_new_falcon,0,0
2020-10-05 11:32:54.891380+00:00,daily_new_falcon,0,0
2020-10-05 11:37:06.204719+00:00,daily_new_falcon,0,0
2020-10-05 11:41:17.455647+00:00,daily_new_falcon,0,0
2020-10-05 11:45:28.641626+00:00,daily_new_falcon,0,0
2020-10-05 11:49:39.775413+00:00,daily_new_falcon,0,0
2020-10-05 11:53:50.743914+00:00,daily_new_falcon,0,0
2020-10-05 11:58:01.595079+00:00,daily_new_falcon,0,0
2020-10-05 12:02:12.322965+00:00,daily_new_falcon,0,0
2020-10-05 12:06:22.934878+00:00,daily_new_falcon,0,0
2020-10-05 12:10:33.321720+00:00,daily_new_falcon,0,0
2020-10-05 12:14:43.564491+00:00,daily_new_falcon,0,0
2020-10-05 12:18:53.604843+00:00,daily_new_falcon,0,0
2020-10-05 12:27:13.331569+00:00,daily_new_falcon,0,0
2020-10-05 12:31:23.016119+00:00,daily_new_falcon,0,0
2020-10-05 12:35:32.637518+00:00,daily_new_falcon,0,0
2020-10-05 12:39:42.195907+00:00,daily_new_falcon,0,0
2020-10-05 12:43:51.722531+00:00,daily_new_falcon,0,0
2020-10-05 12:48:01.193395+00:00,daily_new_falcon,0,0
2020-10-05 12:52:10.607437+00:00,daily_new_falcon,0,0
2020-10-05 12:56:19.921606+00:00,daily_new_falcon,0,0
2020-10-05 13:00:29.198009+00:00,daily_new_falcon,0,0
2020-10-05 13:04:38.387207+00:00,daily_new_falcon,0,0
2020-10-05 13:08:47.532787+00:00,daily_new_falcon,0,0
2020-10-05 13:12:56.622205+00:00,daily_new_falcon,0,0
2020-10-05 13:17:05.669930+00:00,daily_new_falcon,0,0
2020-10-05 13:21:14.659681+00:00,daily_new_falcon,0,0
2020-10-05 13:25:23.613495+00:00,daily_new_falcon,0,0
2020-10-05 13:29:32.533971+00:00,daily_new_falcon,0,0
2020-10-05 13:33:41.364582+00:00,daily_new_falcon,0,0
2020-10-05 13:37:50.106796+00:00,daily_new_falcon,0,0
2020-10-05 13:41:58.771584+00:00,daily_new_falcon,0,0
2020-10-05 13:46:07.329635+00:00,daily_new_falcon,0,0
2020-10-05 13:54:24.122855+00:00,daily_new_falcon,0,0
2020-10-05 14:06:48.646504+00:00,daily_new_falcon,0,0
2020-10-05 14:10:56.683356+00:00,daily_new_falcon,0,0
2020-10-05 14:15:04.694952+00:00,daily_new_falcon,0,0
2020-10-05 14:19:12.685731+00:00,daily_new_falcon,0,0
2020-10-05 14:23:20.635249+00:00,daily_new_falcon,0,0
2020-10-05 14:31:36.425128+00:00,daily_new_falcon,0,0
2020-10-05 14:39:52.080506+00:00,daily_new_falcon,0,0
2020-10-05 14:43:59.831293+00:00,daily_new_falcon,0,0
2020-10-05 14:48:07.421506+00:00,daily_new_falcon,0,0
2020-10-05 14:52:14.888981+00:00,daily_new_falcon,0,0
2020-10-05 14:56:22.176169+00:00,daily_new_falcon,0,0
2020-10-05 15:00:29.338618+00:00,daily_new_falcon,0,0
2020-10-05 15:04:36.394164+00:00,daily_new_falcon,0,0
2020-10-05 15:08:43.376029+00:00,daily_new_falcon,0,0
2020-10-05 15:12:50.327736+00:00,daily_new_falcon,0,0
2020-10-05 15:16:57.222169+00:00,daily_new_falcon,0,0
2020-10-05 15:21:04.135289+00:00,daily_new_falcon,0,0
2020-10-05 15:25:11.066781+00:00,daily_new_falcon,0,0
2020-10-05 15:29:17.939117+00:00,daily_new_falcon,0,0
2020-10-05 15:33:24.837541+00:00,daily_new_falcon,0,0
2020-10-05 15:37:31.690891+00:00,daily_new_falcon,0,0
2020-10-05 15:45:45.500227+00:00,daily_new_falcon,0,0
2020-10-05 15:49:52.368665+00:00,daily_new_falcon,0,0
2020-10-05 15:53:59.165595+00:00,daily_new_falcon,0,0
2020-10-05 15:58:05.877759+00:00,daily_new_falcon,0,0
2020-10-05 16:02:12.541536+00:00,daily_new_falcon,0,0
2020-10-05 16:06:19.167576+00:00,daily_new_falcon,0,0
2020-10-05 16:10:25.725595+00:00,daily_new_falcon,0,0
2020-10-05 16:14:32.268849+00:00,daily_new_falcon,0,0
2020-10-05 16:18:38.686796+00:00,daily_new_falcon,0,0
2020-10-05 16:22:45.022093+00:00,daily_new_falcon,0,0
2020-10-05 16:30:57.427799+00:00,daily_new_falcon,0,0
2020-10-05 16:35:03.605035+00:00,daily_new_falcon,0,0
2020-10-05 16:39:09.720584+00:00,daily_new_falcon,0,0
2020-10-05 16:43:15.724287+00:00,daily_new_falcon,0,0
2020-10-05 16:47:21.602982+00:00,daily_new_falcon,0,0
2020-10-05 16:51:27.320460+00:00,daily_new_falcon,0,0
2020-10-05 16:55:33.084401+00:00,daily_new_falcon,0,0
2020-10-05 16:59:38.945771+00:00,daily_new_falcon,0,0
2020-10-05 17:03:44.942052+00:00,daily_new_falcon,0,0
2020-10-05 17:07:51.290212+00:00,daily_new_falcon,0,0
2020-10-05 17:11:57.819688+00:00,daily_new_falcon,0,0
2020-10-05 17:16:04.326923+00:00,daily_new_falcon,0,0
2020-10-05 17:20:10.579597+00:00,daily_new_falcon,0,0
2020-10-05 17:24:16.704597+00:00,daily_new_falcon,0,0
2020-10-05 17:28:22.985395+00:00,daily_new_falcon,0,0
2020-10-05 17:32:29.406619+00:00,daily_new_falcon,0,0
2020-10-05 17:36:35.797474+00:00,daily_new_falcon,0,0
2020-10-05 17:40:41.978600+00:00,daily_new_falcon,0,0
2020-10-05 17:48:53.611046+00:00,daily_new_falcon,0,0
2020-10-05 17:52:59.300102+00:00,daily_new_falcon,0,0
2020-10-05 17:57:05.137959+00:00,daily_new_falcon,0,0
2020-10-05 18:01:11.216138+00:00,daily_new_falcon,0,0
2020-10-05 18:05:17.507472+00:00,daily_new_falcon,0,0
2020-10-05 18:09:23.868432+00:00,daily_new_falcon,0,0
2020-10-05 18:13:30.231465+00:00,daily_new_falcon,0,0
2020-10-05 18:17:36.655849+00:00,daily_new_falcon,0,0
2020-10-05 18:21:43.268461+00:00,daily_new_falcon,0,0
2020-10-05 18:25:49.985217+00:00,daily_new_falcon,0,0
2020-10-05 18:29:58.050831+00:00,daily_new_falcon,0,0
2020-10-05 18:34:05.018256+00:00,daily_new_falcon,0,0
2020-10-05 18:38:12.208936+00:00,daily_new_falcon,0,0
2020-10-05 18:42:19.476465+00:00,daily_new_falcon,0,0
2020-10-05 18:46:26.769583+00:00,daily_new_falcon,0,0
2020-10-05 18:50:34.094585+00:00,daily_new_falcon,0,0
2020-10-05 18:54:41.426503+00:00,daily_new_falcon,0,0
